epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.5905420937856038,27.306666673787436,1.533642155647278,33.839999938964844,0.32111572562035784,0.32166684205244567,0.3384
1,0.8096373525937398,82.39999999593098,0.2816392735958099,93.19999995117188,0.9321388933998105,0.9349898798477136,0.932
2,0.5691408213297526,92.18666669108073,0.22285381392240525,94.48,0.9442454345690214,0.9469061405013723,0.9448000000000001
3,0.5092714483261108,94.69333335774739,0.2096469957590103,95.75999995117188,0.957700500229438,0.9590406612055414,0.9576
4,0.4930132229328156,95.30666669108074,0.21893927311897277,93.75999997558594,0.9376829345239799,0.940905281438735,0.9376
5,0.49743783095677696,94.9333333577474,0.23868563578128815,94.31999997558594,0.9428077627086833,0.9446735212187475,0.9431999999999998
6,0.48737767063776655,95.68000002441406,0.2224992260456085,94.47999995117188,0.9444682582481816,0.946080726863482,0.9448000000000001
7,0.4844316487630208,95.46666666666667,0.26528243436813354,93.52000010986328,0.9356964499319711,0.9402559054834667,0.9352
8,0.4949461966832479,95.17333337809245,0.30109318890571596,91.04000010986329,0.91226962364311,0.9246700306117355,0.9103999999999999
9,0.4975557022571564,94.58666669108072,0.2280236547231674,94.31999995117188,0.9433355662401961,0.944241662996555,0.9431999999999998
10,0.5053416380564372,94.69333330485026,0.21211631791591645,95.03999995117188,0.9503825813943003,0.9511364198356839,0.9503999999999999
11,0.4777962987263997,95.97333335774739,0.2174706978559494,94.95999995117188,0.9494687627341172,0.9503936546099405,0.9495999999999999
12,0.47457190669377647,96.32000002441406,0.2855526885032654,92.31999995117188,0.9230206553973421,0.930613531464577,0.9231999999999999
13,0.4766395295461019,95.89333330485026,0.29438569667339326,92.95999995117188,0.929659450494811,0.9351623321713994,0.9296
