epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.5949822026570637,25.573333325195314,1.555835125541687,31.99999991455078,0.2961338821645167,0.3394233864704376,0.32
1,1.5411850533167522,35.43999998575846,1.4833936029434205,35.119999938964845,0.3316845923662493,0.36272849346057445,0.35119999999999996
2,1.4714049601236978,39.70666668701172,1.363862548828125,42.71999991455078,0.40288925758527994,0.43918010538278585,0.4271999999999999
3,1.4598672819773355,40.29333332519531,1.545286228275299,33.760000109863284,0.27830432227016716,0.3994974825345357,0.3376
4,1.4052872509002685,43.706666662597655,1.3355317823410033,45.28000003051758,0.44921886547215256,0.4584280221724672,0.4528
5,1.3720238852818807,45.22666668701172,1.3117194080352783,43.99999998779297,0.3967143837685448,0.44566827131016973,0.43999999999999995
6,1.3452684056599935,47.14666667073568,1.1818774995803834,52.32000001525879,0.5037084005952986,0.5939008202860443,0.5232
7,1.334007192993164,49.14666665649414,1.502215757369995,41.119999987792966,0.36227767697573643,0.5975936341326966,0.4112
8,1.2883184679667155,51.41333333740234,1.2302907142639161,48.07999996948242,0.47340574456765483,0.539089632009655,0.4808
9,1.2677941087086995,52.400000014241535,1.1635994867324828,49.04000010986328,0.4492825005396324,0.5662792749298309,0.4904
10,1.2528677388509115,53.97333333943685,1.4321944067001342,43.68000006103516,0.41269111493575383,0.5389250316333618,0.4368
11,1.1926066209157309,57.97333331705729,1.0475244716644287,58.95999997558594,0.5844806247915375,0.6485897731917081,0.5896
12,1.1869422116597494,57.25333332316081,1.2870275924682617,49.68000001220703,0.46243702937865727,0.600159599827194,0.4968
13,1.1708028453826904,60.05333335164388,1.0647606547355652,56.08000001220703,0.5487754130558457,0.5785427861292248,0.5608000000000001
14,1.1371976210276287,61.57333334757487,1.0625008393764497,59.2800000366211,0.5849322213956762,0.6354248764578067,0.5928
15,1.129106635093689,61.62666668497722,1.132366301727295,57.11999996337891,0.5724592356946125,0.6304262961046294,0.5711999999999999
16,1.0988067644755046,64.56000000406901,1.166485026359558,51.20000005493164,0.48850738869425286,0.6134789802003685,0.512
17,1.075137351735433,65.78666667073567,1.2691126167297364,51.92000001220703,0.4875671584921858,0.6274384371599577,0.5192
18,1.0762415781021117,65.60000000813803,0.9156921050071717,66.1599999267578,0.6382941428500641,0.6944324060758044,0.6616
19,1.052967528216044,67.03999999389649,0.8457842895507812,66.8799999633789,0.6626551709231199,0.7072144154392833,0.6688000000000001
20,1.0279674767494202,68.74666667480469,0.9949002575874328,58.80000003051758,0.5829922180930976,0.7187362004432658,0.588
21,1.0095121203104656,69.36000000813802,1.0083419864654541,58.55999996948242,0.5855615429319555,0.6958337297662152,0.5856
22,0.9946693449656169,70.2400000366211,0.9086232789993286,65.04000004882812,0.6430561063538336,0.7031762395177571,0.6504000000000001
23,0.9948543772697449,70.40000001627604,0.8692933351039887,67.12000008544922,0.6697265944083959,0.7339886058628022,0.6712
24,0.9729753374735515,71.94666665039063,1.0856085430145264,54.71999998779297,0.5219651991923049,0.6501455984881159,0.5472
25,0.9488297709465027,72.26666670328775,0.9353309070587158,62.32000000610351,0.6053490596356619,0.7070900396443134,0.6232
26,0.9369325892766317,74.26666670735678,0.7720105084419251,72.00000003662109,0.7194715526406323,0.7335727386423232,0.72
27,0.9334032147725423,73.9733333170573,0.7049779910087586,76.32000006103516,0.7656068107365378,0.791209578089795,0.7632
28,0.9162134772618612,74.98666670735678,0.7676669224739074,71.03999993896484,0.7067137744138599,0.7636848223344783,0.7103999999999999
29,0.8975522963205973,75.92000001627603,0.8804439998626709,66.16000008544921,0.6629966524866995,0.7411543480679794,0.6616
30,0.8905293151855469,76.8800000406901,0.725152224779129,73.76000008544922,0.7289897709325908,0.7637131193401715,0.7375999999999999
31,0.8895393185297649,76.7466666788737,0.6831834016799927,77.75999992675781,0.7779506609943401,0.8059249236278058,0.7776
32,0.866062231318156,78.50666665852864,0.736662547492981,71.84000002441407,0.7111887761827708,0.7779474445431478,0.7184
33,0.8737907609303792,77.67999998779297,1.0233777586221695,64.63999992675781,0.6169527096804258,0.7434790721520542,0.6464
34,0.8619917833646139,78.58666670328776,0.7967417397022247,71.43999997558593,0.7036963070299169,0.793667582078491,0.7143999999999999
