epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.7209959486643474,17.999999997965496,1.680602082824707,19.919999995422362,0.14686037354490913,0.15804512716002672,0.1992
1,1.265773601659139,59.70666665445964,0.7607576079845428,86.39999992675781,0.8627401032613242,0.8687596819211251,0.8639999999999999
2,0.708984152285258,88.58666670735677,0.280020064496994,93.91999997558594,0.939331636271538,0.9399356390683884,0.9391999999999999
3,0.5678761227607727,93.06666663818359,0.2116519340991974,96.23999997558593,0.9624775643137433,0.962908619450381,0.9623999999999999
4,0.510601765871048,96.18666669108073,0.1846904322862625,97.04,0.9704453978511867,0.9708466052592802,0.9704
5,0.4751871372858683,97.38666669108073,0.17787381703853608,96.31999995117188,0.9632612920018525,0.9637807727542977,0.9632
6,0.44665984614690146,98.79999997151693,0.19072923877239228,96.56,0.9656092818428185,0.9660555724396037,0.9655999999999999
7,0.4381984573205312,99.22666666666667,0.16849906883239746,97.11999997558594,0.9711551999968163,0.9713737618879353,0.9712
8,0.42906707701683044,99.46666666666667,0.1699525017261505,96.55999995117187,0.9656361585566661,0.965822840976219,0.9655999999999999
9,0.4250262779553731,99.49333333333334,0.16222363872528076,96.79999995117187,0.9680351279499849,0.96818878808445,0.968
10,0.4229375675360362,99.54666666666667,0.1657201869249344,97.44,0.9744136605966712,0.974654494484119,0.9743999999999999
11,0.42036342043876646,99.62666666666667,0.1563107524394989,97.35999997558594,0.9736097444046085,0.9737408024378947,0.9736
12,0.41436140995025633,99.86666666666666,0.16836112957000732,96.87999997558593,0.9688505889905532,0.9690449544522842,0.9687999999999999
13,0.4135742339611053,99.81333333333333,0.1761436149120331,96.8,0.9679471187327551,0.9682309120209371,0.968
14,0.4123201470534007,99.78666666666666,0.17215260912179947,96.96,0.9694952530214795,0.969667854360203,0.9696
15,0.4116207029978434,99.86666666666666,0.16675357288122178,96.88,0.9687968479465621,0.9695354448770198,0.9687999999999999
16,0.41029674094518026,99.92,0.1675890350818634,97.36,0.973566408631054,0.9737833990637832,0.9736
17,0.40780253883997597,99.94666666666667,0.16536678485870362,96.87999997558593,0.9688527946502242,0.9690317916255868,0.9687999999999999
18,0.4050058007717133,100.0,0.16697526257038117,96.72,0.9672027332259254,0.9678704539261688,0.9672000000000001
19,0.40701684629122414,99.92,0.16257148280143738,97.12,0.9712403945975361,0.9715137795350521,0.9712
20,0.4072649227142334,99.92,0.17366830399036406,96.8,0.9679255620826781,0.9684951793261274,0.968
